name,latitude,longitude,short_description
Аптека доктора Живило,60.017179,30.402827,
Здравсити,60.019846,30.403488,
Горздрав,60.024351,30.395115,
Петербургские аптеки,60.023755,30.377778,
Столички,60.022613,30.373659,
Невис,60.015593,30.368613,
Первая помощь,60.013600,30.369062,
Столички,60.009533,30.369944,
Озерки,60.014057,30.395130,
78 плюс,60.013665,30.396737,
Озерки,60.013244,30.399272,
Столички,60.012934,30.394477,
Фиалка,60.012916,30.395030,
