id,latitude,longitude,street_count,type
307957,60.02729,30.3874868,4,car
307959,60.0273719,30.3876173,4,car
3605604,59.9983585,30.3651725,3,car
3605636,59.9966622,30.3771417,3,car
16386135,60.0222985,30.4060219,3,car
16386150,60.0224531,30.4068459,3,car
16386165,60.0219583,30.4075865,3,car
21755953,60.0023432,30.3820384,4,car
21755956,59.9992806,30.3789723,3,car
21756058,60.0225495,30.3668366,3,car
21756069,60.0302847,30.3653311,3,car
21756082,60.0320552,30.3650927,4,car
22378705,60.0228116,30.3928258,3,car
25264213,60.02492,30.3852092,3,car
25717148,60.0271907,30.3878263,4,car
25717153,60.0272766,30.3879568,4,car
25717164,60.0251092,30.3953052,4,car
25717230,60.0191181,30.4172756,4,car
25896541,60.0090529,30.3762697,4,car
25896816,60.0110727,30.4059404,3,car
60822430,60.0223215,30.4073474,3,car
151232044,60.0192505,30.4174083,3,car
186115837,60.0216827,30.4073027,3,car
186117699,60.0221375,30.4058513,3,car
247916508,60.0297291,30.3654555,3,car
249754941,60.0161527,30.4001513,3,car
250385658,60.009715,30.3727378,3,car
311367031,60.0112827,30.3719674,3,car
359181375,59.998713,30.3650423,3,car
394862338,60.0118631,30.3782097,3,car
412385373,60.000121,30.3740242,3,car
427532764,60.0196333,30.3805165,3,car
446284994,60.0272144,30.3659455,3,car
448027993,60.0299373,30.3660941,3,car
753611566,60.0247472,30.3966107,3,car
1159517289,60.0223908,30.4049703,3,car
1204187494,60.0281398,30.3886839,3,car
1204187675,60.0280404,30.389022,3,car
1274168817,60.0232726,30.4013295,2,car
1483605822,60.0206468,30.4046503,3,car
1513317626,60.0187953,30.3674907,4,car
1513317628,60.0189153,30.3675106,4,car
1513317646,60.0211678,30.3734001,4,car
1513317649,60.0212468,30.3732757,4,car
1513317651,60.0221436,30.3758349,3,car
1513317655,60.022221,30.3757033,3,car
1513317724,60.0253218,30.3837522,4,car
1513317726,60.0253665,30.3835304,4,car
1839308686,60.0252118,30.3954159,3,car
4987290251,60.0096203,30.3942162,3,car
4987290252,60.0103877,30.3949634,3,car
4987290253,60.0122969,30.3968991,3,car
4987290259,60.0070289,30.3915929,3,car
4987290260,60.0092287,30.3938244,3,car
4987290271,60.0099713,30.3945579,3,car
4987292746,60.0215789,30.4065359,3,car
4987292748,60.0216731,30.4061376,3,car
4987299251,60.0160252,30.4006266,4,car
4987299258,60.0211617,30.4057804,3,car
4987299259,60.0210751,30.4058517,3,car
4987299261,60.0139342,30.3986771,3,car
4987299263,60.0139682,30.3985596,3,car
4992457255,60.020522,30.4051638,3,car
4998956625,60.0214268,30.4085517,3,car
4998960086,60.019217,30.4173748,3,car
5784873076,60.0159932,30.4007457,3,car
6124097134,60.0086577,30.3791324,4,car
6124097135,60.0086053,30.3790947,3,car
6124098293,60.0075853,30.385451,4,car
6124098294,60.0066099,30.391171,4,car
6124098296,60.0075105,30.3855135,4,car
6124098302,60.0099846,30.3710507,3,car
6124098305,60.0100233,30.371078,4,car
7176906240,60.0165364,30.3678513,4,car
7176906258,60.0118293,30.3689657,3,car
7176906274,60.0127211,30.3687525,3,car
7179749852,60.0102915,30.369274,4,car
7179749866,60.0102494,30.369268,4,car
7181450072,60.005717,30.3689872,3,car
7181450078,60.004581,30.3682228,4,car
7181450081,60.0014325,30.366129,4,car
7181925518,60.0071294,30.369918,3,car
7875759443,60.0225722,30.3673647,3,car
9458882165,60.0164328,30.3678728,4,car
9458882195,60.0176308,30.3742364,4,car
9458882196,60.0175169,30.3742493,3,car
9458882206,60.016926,30.3783955,4,car
9458887229,60.0168237,30.3783236,3,car
9458887242,60.0164136,30.3813236,3,car
9458887243,60.0163121,30.3812462,4,car
9458887249,60.0155517,30.385581,3,car
9458887252,60.0156556,30.3856565,4,car
9459988042,60.0131328,30.397741,4,car
9459988050,60.0130422,30.3976552,4,car
9459988051,60.014751,30.3902202,3,car
9459988063,60.0131082,30.3978497,4,car
9547552060,60.0104209,30.4085228,4,car
9734611594,60.0233077,30.4012035,2,car
21755958,60.0002244,30.3799096,4,walk
25896520,60.0100715,30.3801491,3,walk
25897340,60.018958,30.394798,4,walk
25897341,60.0188696,30.3901439,3,walk
26041482,60.0235964,30.4073416,3,walk
162750125,60.0137358,30.3734457,4,walk
165140312,60.0141769,30.3710623,4,walk
165140323,60.0158168,30.3713807,5,walk
165140328,60.0157205,30.371781,3,walk
165140424,60.0150955,30.3715995,3,walk
165140614,60.0146552,30.3717364,3,walk
165140645,60.0146498,30.3724475,4,walk
165140656,60.0139962,30.372071,3,walk
183629231,60.0151071,30.3713708,3,walk
186112829,60.0222505,30.4093463,3,walk
186113158,60.0225054,30.4083858,3,walk
186113447,60.0227696,30.4086582,3,walk
235685814,60.0144121,30.376205,3,walk
247758060,60.0065444,30.3734275,3,walk
247758063,60.0071195,30.3730745,4,walk
247758067,60.0067005,30.3715625,4,walk
247758549,60.0066225,30.3825683,3,walk
247758826,60.0063457,30.3746204,4,walk
247758967,60.0062651,30.3722259,3,walk
249155547,60.0070696,30.3703845,4,walk
249155560,60.0068659,30.3716121,3,walk
249161148,60.0077674,30.3753446,3,walk
250385595,60.0085259,30.3758858,3,walk
250385604,60.0080776,30.3755659,3,walk
250385605,60.0086853,30.3719865,3,walk
250385657,60.0091802,30.3723429,4,walk
250386236,60.0083237,30.3719634,3,walk
250386260,60.0080679,30.3727987,3,walk
250386261,60.0081756,30.3728663,3,walk
250652641,60.0087831,30.3760699,3,walk
250652642,60.0093985,30.3724962,4,walk
251968182,60.0084327,30.3713641,3,walk
255478881,60.0051332,30.3839151,4,walk
255479180,60.0060397,30.3774909,4,walk
255479181,60.0065095,30.3747254,4,walk
255479182,60.0067081,30.3734902,4,walk
255479183,60.0070096,30.3717587,4,walk
259857272,60.0153863,30.390291,3,walk
259857274,60.0162189,30.3902393,3,walk
259857275,60.0154612,30.3929969,4,walk
259857276,60.0149237,30.3926042,3,walk
259857277,60.0150554,30.3920332,4,walk
259857431,60.0145239,30.3945491,3,walk
259857432,60.0140491,30.3949196,5,walk
259857549,60.0159159,30.3873524,3,walk
259857601,60.0160878,30.3907802,4,walk
259857791,60.0163701,30.3902003,3,walk
259858515,60.0156181,30.3904477,3,walk
259858516,60.0152582,30.3921888,3,walk
268702606,60.0226076,30.3900758,3,walk
271491907,60.0077298,30.3755512,3,walk
271492003,60.0072835,30.3783768,3,walk
271492052,60.0068495,30.3813154,3,walk
295943570,60.0126264,30.3729163,3,walk
295943573,60.0139836,30.3693569,4,walk
297407421,60.0034856,30.3757027,4,walk
297407422,60.0057212,30.3772814,3,walk
297407423,60.0064118,30.3732477,4,walk
297407815,60.0048496,30.3714079,3,walk
297407817,60.0062514,30.372328,4,walk
297407818,60.0054437,30.3800859,4,walk
297407822,60.0050723,30.3798193,3,walk
297407823,60.0056006,30.3771887,4,walk
356379794,60.0067145,30.3701024,3,walk
356379798,60.0063052,30.3703844,3,walk
356379803,60.0054051,30.3695827,3,walk
356379815,60.0044943,30.3687652,3,walk
356389841,60.0045163,30.3686301,3,walk
356389845,60.0030312,30.3675925,4,walk
356389850,60.0036357,30.3701129,3,walk
356389852,60.0032281,30.3691278,3,walk
356389855,60.0029335,30.3680579,4,walk
356404955,60.0072259,30.3830973,3,walk
356404957,60.0069983,30.3828046,3,walk
356404960,60.006925,30.3826175,3,walk
357216009,60.0048379,30.3837165,4,walk
358813045,60.0159612,30.3728703,3,walk
367606916,60.0103578,30.3872097,3,walk
372836137,60.015073,30.3725076,4,walk
372836140,60.0154346,30.3712778,3,walk
393835149,60.0026675,30.3816265,3,walk
393835151,60.0031347,30.3805051,3,walk
393835156,60.0032904,30.3778981,3,walk
393835159,60.003675,30.3765529,4,walk
393835160,60.0038453,30.3760029,4,walk
393835161,60.0039738,30.3756256,4,walk
393835163,60.0041523,30.3750479,3,walk
393835166,60.0045793,30.3739126,3,walk
393835174,60.0062015,30.3745124,4,walk
393835177,60.005707,30.3735043,3,walk
393835180,60.0049501,30.3734676,3,walk
393835181,60.004881,30.3738415,4,walk
393835182,60.0026788,30.3814849,5,walk
393835184,60.0035656,30.3757739,4,walk
393835185,60.0043531,30.3709648,4,walk
393835186,60.0041191,30.3724085,3,walk
393835187,60.0044338,30.3720327,4,walk
393835189,60.0047731,30.3716005,3,walk
393835192,60.0054212,30.3729435,3,walk
393835194,60.0055985,30.3732733,4,walk
394862337,60.0113683,30.3809305,3,walk
394877323,60.0129355,30.3892147,3,walk
412385374,60.0007571,30.3744275,3,walk
412385377,60.0031419,30.3756641,4,walk
418120569,60.0171035,30.3818587,3,walk
418120570,60.0184611,30.3829146,3,walk
418120572,60.0166078,30.3846556,3,walk
418120574,60.0193294,30.3854815,3,walk
418120575,60.0167183,30.3841635,5,walk
418120576,60.0164595,30.3839664,3,walk
418120577,60.0167756,30.3822386,3,walk
418120578,60.017006,30.3843983,3,walk
418120580,60.017323,30.382663,3,walk
418120589,60.0170033,30.3824019,4,walk
418120595,60.0183445,30.3834633,3,walk
427532766,60.0202188,30.3794247,5,walk
444978880,60.0115897,30.3723802,3,walk
444986434,60.0050799,30.3822526,3,walk
444986435,60.0053497,30.3806312,3,walk
444986437,60.0061616,30.3768229,4,walk
444986438,60.0063816,30.3755309,4,walk
444986439,60.0052434,30.3823192,4,walk
444986440,60.0055139,30.3808156,4,walk
444986441,60.0059882,30.3767661,3,walk
444986442,60.0062219,30.3753635,5,walk
444986444,60.0027617,30.381605,4,walk
444986445,60.0034126,30.3789198,4,walk
